Fecha,ID_local,clave_producto,venta,venta_empleado
19-mar-19,2,pzz,523,6332756
09-sep-19,4,qsd,4100,2310967
24-ago-19,1,clz,3998,5942572
28-mar-19,2,pzz,2703,6931035
10-oct-19,1,clz,4100,1111222
08-mar-20,1,qsd,2811,5942572
02-oct-19,3,clz,2122,2630867
20-jun-19,1,pzz,5807,9922377
15-ago-19,1,qsd,2181,9611338
29-nov-19,3,pzz,1948,6332756
22-jul-19,2,clz,2031,2630867
05-oct-19,4,clz,4284,2630867
28-nov-19,2,pzz,1177,2520477
08-jun-19,1,pzz,1429,9611338
24-jun-19,1,qsd,3115,2310967
26-mar-19,3,brr,1354,5942572
10-feb-19,4,brr,5630,6931035
09-mar-20,2,clz,2187,9922377
15-feb-20,2,brr,3679,2310967
24-nov-19,1,qsd,1604,5942572
15-mar-19,1,qsd,1270,4245367
10-sep-19,2,qsd,5424,3833745
24-abr-19,1,pzz,3990,2630867
18-abr-19,4,brr,5786,9611338
31-may-19,1,qsd,5173,6332756
12-sep-19,1,clz,2466,5942572
16-abr-19,1,qsd,3095,9611338
28-oct-19,3,qsd,2486,6332756
02-dic-19,2,pzz,921,2520477
09-abr-19,1,qsd,4198,2630867
06-jun-19,3,brr,722,3833745
17-dic-19,2,qsd,4653,9611338
02-nov-19,1,pzz,5100,2520477
24-ago-19,4,qsd,3228,2520477
11-nov-19,2,clz,3146,9922377
15-may-19,4,clz,5901,5942572
12-dic-19,3,clz,3354,6931035
16-jun-19,1,brr,5874,2630867
18-ago-19,1,brr,3049,5942572
17-nov-19,2,clz,2954,6931035
05-feb-19,4,pzz,2917,9922377
16-may-19,4,pzz,5460,6332756
05-feb-20,4,pzz,5461,4245367
01-sep-19,1,clz,840,3833745
09-dic-19,3,brr,2597,5942572
10-sep-19,3,clz,2621,2630867
23-jun-19,1,brr,5488,6332756
17-ago-19,2,qsd,4800,1111222
15-mar-19,1,pzz,3981,4245367
05-dic-19,2,brr,2905,6931035
11-nov-19,1,pzz,1924,2630867
09-jul-19,4,qsd,4647,3833745
10-abr-19,2,brr,3446,5942572
02-dic-19,4,brr,4145,9922377
18-dic-19,4,qsd,421,2630867
29-abr-19,3,brr,1222,6931035
29-nov-19,2,qsd,876,2630867
28-nov-19,1,brr,996,4245367
26-mar-19,2,qsd,2930,5942572
07-jul-19,1,qsd,232,1111222
15-nov-19,4,pzz,1629,2520477
05-abr-19,2,brr,3947,9611338
09-dic-19,4,pzz,5801,6931035
15-jun-19,1,qsd,3840,2520477
24-feb-19,3,qsd,3846,1111222
02-oct-19,3,brr,2330,5942572
27-dic-19,4,qsd,3281,2630867
30-sep-19,3,qsd,5105,6931035
23-ago-19,3,pzz,5486,2310967
17-feb-19,4,clz,1702,1111222
13-ene-20,3,brr,3887,1111222
08-feb-19,3,brr,1740,9611338
22-feb-20,1,pzz,3460,6931035
26-feb-20,2,brr,5388,4245367
19-abr-19,4,clz,1675,5942572
08-jul-19,1,clz,260,5942572
15-dic-19,3,clz,2484,6332756
15-feb-19,2,clz,5474,1111222
13-oct-19,3,clz,524,9922377
24-feb-20,2,qsd,2927,1111222
05-nov-19,2,pzz,975,9922377
03-may-19,4,qsd,3733,2520477
13-dic-19,4,qsd,3861,9611338
02-ene-20,2,clz,1940,4245367
31-jul-19,2,qsd,1775,2310967
06-may-19,3,clz,4091,9611338
26-ago-19,2,qsd,769,9611338
02-ago-19,4,qsd,4972,1111222
06-ene-20,2,brr,5931,4245367
01-ene-20,1,clz,4695,3833745
26-nov-19,2,qsd,2599,5942572
23-jul-19,2,brr,4391,9611338
01-ene-20,2,pzz,2618,6931035
12-abr-19,3,clz,5479,2630867
02-mar-19,3,pzz,1918,5942572
21-nov-19,1,qsd,5620,3833745
09-may-19,1,brr,4846,5942572
03-abr-19,1,brr,5786,1111222
03-dic-19,3,pzz,3528,1111222
11-abr-19,4,brr,4974,9611338
22-mar-19,1,brr,2696,6931035
04-oct-19,2,brr,5072,6931035
29-dic-19,3,brr,3951,2310967
26-sep-19,3,pzz,3593,2520477
16-sep-19,4,clz,4288,6332756
10-mar-19,2,clz,3489,4245367
19-oct-19,2,clz,5729,4245367
14-may-19,3,qsd,3793,9611338
21-oct-19,4,qsd,5600,2310967
27-ene-20,3,qsd,5163,5942572
05-jun-19,2,clz,1723,6332756
21-mar-19,2,qsd,4814,1111222
23-sep-19,4,pzz,4621,9611338
04-nov-19,2,qsd,2404,9922377
29-mar-19,3,qsd,5590,4245367
23-jul-19,1,clz,5179,2520477
09-sep-19,3,brr,3456,1111222
24-feb-19,4,pzz,5879,2630867
14-sep-19,2,brr,5685,6931035
14-may-19,1,qsd,830,5942572
18-sep-19,3,pzz,1353,1111222
24-ago-19,1,brr,4973,6332756
06-nov-19,4,clz,4410,2630867
04-feb-19,3,pzz,4594,2310967
27-may-19,2,brr,5181,1111222
30-mar-19,4,brr,1989,1111222
17-dic-19,2,clz,5069,4245367
07-dic-19,4,pzz,302,2310967
17-jun-19,1,clz,702,2520477
27-ene-20,3,qsd,508,9611338
17-jun-19,3,brr,5947,9922377
05-jun-19,4,brr,5339,6332756
06-nov-19,2,brr,3537,5942572
12-sep-19,4,qsd,824,6931035
03-sep-19,2,qsd,1861,6931035
01-mar-20,1,clz,1322,1111222
15-abr-19,3,pzz,5491,5942572
08-jun-19,3,pzz,3228,4245367
15-jun-19,4,brr,1322,6332756
09-mar-19,3,brr,554,6332756
08-feb-19,3,clz,1737,6332756
09-dic-19,2,clz,2508,1111222
27-jul-19,3,pzz,3398,9922377
01-feb-20,3,qsd,2404,9611338
19-jun-19,4,clz,5582,5942572
04-mar-20,3,pzz,2518,2630867
16-feb-20,1,clz,3016,6931035
11-jul-19,1,qsd,1747,9611338
28-mar-19,3,clz,1016,1111222
22-oct-19,1,pzz,1054,9611338
18-mar-19,2,qsd,1304,1111222
16-mar-19,4,brr,5240,4245367
22-sep-19,2,pzz,1989,9611338
13-jun-19,3,pzz,519,2630867
01-dic-19,1,clz,4958,3833745
18-jul-19,3,qsd,2774,2520477
08-nov-19,4,clz,264,4245367
15-feb-19,4,qsd,5507,1111222
06-may-19,4,pzz,1898,9611338
30-mar-19,4,brr,5804,6332756
17-feb-20,3,pzz,3969,6332756
10-nov-19,4,qsd,5819,2310967
12-dic-19,2,brr,1599,4245367
07-may-19,4,pzz,4917,4245367
06-jun-19,2,brr,2401,6931035
01-jun-19,4,qsd,3807,6931035
18-jun-19,4,qsd,5703,9922377
08-nov-19,1,pzz,5420,9922377
12-may-19,3,clz,2657,6931035
20-oct-19,1,clz,1175,2310967
06-nov-19,2,clz,3880,6332756
17-sep-19,4,clz,5015,2310967
23-jul-19,2,qsd,5833,5942572
27-mar-19,1,brr,2851,6332756
12-nov-19,4,qsd,4858,9611338
20-abr-19,1,pzz,3392,6931035
14-jun-19,2,pzz,3893,1111222
11-may-19,4,qsd,2173,6931035
27-mar-19,3,brr,4115,3833745
17-may-19,2,brr,5419,2310967
19-feb-20,1,brr,1308,9611338
11-mar-19,1,qsd,1500,9922377
23-ene-20,1,pzz,2027,6931035
24-feb-19,4,qsd,2900,2520477
01-abr-19,1,pzz,736,4245367
02-feb-20,4,brr,1338,3833745
09-jun-19,1,pzz,5594,1111222
01-jun-19,3,brr,1722,6332756
08-sep-19,2,pzz,978,9922377
28-ene-20,2,brr,3170,3833745
07-sep-19,3,brr,1772,4245367
22-nov-19,2,pzz,5231,9922377
02-jun-19,1,pzz,1936,3833745
02-mar-20,1,qsd,618,1111222
15-feb-20,2,qsd,4752,5942572
08-abr-19,2,qsd,5237,1111222
13-may-19,1,qsd,4672,5942572
26-mar-19,4,brr,5725,1111222
26-ago-19,3,brr,4192,2520477
18-feb-20,2,pzz,5259,3833745
03-feb-20,1,clz,2312,2310967
29-jul-19,3,clz,2302,9611338
12-ago-19,4,brr,5784,1111222
09-mar-19,2,pzz,4380,5942572
10-feb-20,4,pzz,3646,4245367
29-oct-19,2,clz,2705,2520477
05-dic-19,3,brr,5335,6332756
23-dic-19,4,clz,983,9922377
06-jun-19,3,brr,2501,1111222
21-mar-19,1,qsd,1111,1111222
19-jun-19,4,pzz,370,4245367
15-jun-19,3,clz,1441,2630867
05-ago-19,3,clz,3997,6931035
25-oct-19,2,pzz,3845,2310967
31-jul-19,2,qsd,1995,5942572
15-oct-19,2,pzz,4375,4245367
06-jun-19,2,pzz,5167,5942572
26-jul-19,4,qsd,921,6332756
18-mar-19,4,clz,352,6332756
29-jul-19,3,pzz,2724,4245367
07-jun-19,3,clz,2652,2520477
26-dic-19,3,clz,2072,1111222
12-feb-19,3,pzz,2330,9922377
10-mar-20,2,brr,2350,6332756
01-jun-19,4,clz,4618,9922377
12-may-19,4,brr,394,4245367
19-nov-19,4,clz,5437,9922377
04-ene-20,1,qsd,843,2630867
19-abr-19,3,clz,2754,1111222
03-ago-19,2,qsd,5772,2310967
04-abr-19,3,qsd,5834,6332756
28-ene-20,2,pzz,1462,2310967
22-ene-20,4,brr,2785,6332756
28-jun-19,2,clz,3569,3833745
29-feb-20,1,clz,1375,2310967
12-ene-20,2,clz,403,9611338
02-mar-20,3,brr,2573,6332756
17-nov-19,2,brr,5419,2520477
07-sep-19,4,qsd,1274,6332756
22-mar-19,1,qsd,4680,9611338
31-oct-19,3,pzz,4531,9922377
03-mar-19,1,pzz,3953,2310967
16-sep-19,4,brr,1229,9611338
20-mar-19,4,qsd,704,1111222
17-jun-19,3,qsd,1686,9611338
11-oct-19,1,brr,3536,3833745
05-nov-19,2,clz,3147,5942572
04-dic-19,4,qsd,1356,6332756
14-may-19,4,brr,977,1111222
20-ago-19,3,clz,2575,9922377
21-oct-19,2,qsd,3245,5942572
04-may-19,4,brr,2186,2630867
18-dic-19,4,pzz,1567,6332756
30-oct-19,4,pzz,2245,3833745
09-ago-19,4,clz,2864,9611338
24-sep-19,4,qsd,5400,2630867
23-feb-19,1,qsd,3918,1111222
23-feb-20,3,qsd,3572,6931035
03-may-19,4,brr,5494,6931035
22-nov-19,1,brr,871,2630867
01-mar-19,2,brr,5675,1111222
25-ago-19,1,clz,5264,9611338
07-sep-19,3,qsd,4223,2520477
27-sep-19,4,clz,2850,2520477
18-jul-19,4,pzz,5998,2630867
17-jun-19,1,brr,4184,9611338
19-may-19,2,brr,3046,3833745
29-nov-19,1,qsd,704,9611338
20-feb-19,2,brr,3367,3833745
22-oct-19,4,brr,3664,5942572
21-sep-19,2,clz,4741,4245367
12-nov-19,1,clz,1022,2630867
17-ago-19,4,qsd,2454,2630867
22-abr-19,4,brr,2407,1111222
03-dic-19,4,pzz,3516,4245367
27-nov-19,1,brr,5716,4245367
29-sep-19,1,clz,2314,6931035
13-mar-19,3,brr,5039,2310967
26-feb-20,1,pzz,4406,2630867
08-oct-19,1,brr,2257,5942572
04-jun-19,4,qsd,669,9611338
04-oct-19,3,qsd,901,2630867
15-feb-19,2,qsd,804,9611338
19-oct-19,2,brr,4908,2630867
28-may-19,1,brr,3727,3833745
20-feb-20,4,clz,4258,2630867
28-ene-20,4,clz,4597,2310967
09-feb-19,3,pzz,1616,2520477
11-jun-19,4,pzz,1929,9611338
10-mar-20,3,qsd,1717,6332756
10-mar-20,4,clz,450,2520477
28-dic-19,1,pzz,4679,4245367
01-nov-19,2,pzz,5697,2630867
25-jul-19,2,brr,494,6332756
07-ago-19,4,qsd,4689,1111222
01-oct-19,3,clz,2387,6931035
28-jun-19,1,pzz,5250,3833745
15-may-19,1,qsd,3279,6332756
23-oct-19,3,brr,2301,2630867
16-feb-19,1,brr,1527,2520477
13-may-19,4,brr,5852,6332756
24-nov-19,1,brr,835,6332756
22-nov-19,3,pzz,1073,6332756
22-ene-20,2,clz,5498,3833745
26-jul-19,4,brr,2557,3833745
23-nov-19,1,pzz,5526,9611338
13-nov-19,1,pzz,3560,3833745
23-abr-19,3,brr,4415,4245367
08-ago-19,1,brr,923,1111222
15-abr-19,3,clz,829,9611338
20-jun-19,1,pzz,4466,9611338
13-nov-19,4,clz,4581,2520477
29-sep-19,3,clz,440,4245367
24-ago-19,1,brr,4281,6931035
13-sep-19,4,clz,5841,6931035
07-abr-19,4,clz,2733,5942572
22-jul-19,4,qsd,963,6931035
29-ene-20,3,brr,3017,9922377
22-nov-19,3,clz,4408,2520477
28-oct-19,4,brr,3962,2520477
16-nov-19,2,clz,4313,9611338
16-dic-19,4,brr,2934,2310967
13-ago-19,4,clz,3215,2310967
12-ago-19,1,pzz,5570,9922377
17-oct-19,3,pzz,1049,1111222
24-nov-19,3,brr,3198,6332756
18-oct-19,4,pzz,899,9922377
23-jul-19,1,clz,3894,9922377
23-nov-19,1,brr,1929,2520477
27-jul-19,2,qsd,998,1111222
27-jul-19,1,brr,5717,2520477
19-may-19,4,clz,2600,4245367
05-sep-19,1,clz,2298,9611338
13-ago-19,2,clz,5535,6931035
08-dic-19,4,brr,2581,9922377
12-feb-20,4,pzz,2036,1111222
03-mar-19,3,qsd,1933,6931035
11-jul-19,2,brr,4398,6332756
28-feb-19,3,pzz,2664,9611338
04-ago-19,3,clz,4893,5942572
28-nov-19,2,clz,4855,2630867
02-oct-19,1,qsd,1197,9611338
24-oct-19,3,qsd,4792,4245367
11-abr-19,3,pzz,5489,9611338
27-feb-20,4,pzz,1414,6332756
25-abr-19,1,brr,1489,2310967
01-abr-19,3,pzz,3431,2630867
05-mar-19,3,brr,4310,2520477
22-nov-19,2,pzz,1789,4245367
24-abr-19,1,pzz,5809,2630867
14-jun-19,1,clz,1632,1111222
24-nov-19,2,pzz,1982,1111222
11-feb-20,3,brr,4976,4245367
21-nov-19,4,qsd,4211,6931035
16-abr-19,4,brr,2896,5942572
19-oct-19,4,pzz,2386,4245367
19-jun-19,4,pzz,1773,9611338
21-dic-19,4,pzz,452,4245367
04-oct-19,3,pzz,4616,3833745
16-mar-19,2,pzz,1283,2310967
27-mar-19,1,qsd,4232,5942572
30-dic-19,3,clz,5452,9611338
26-ene-20,1,clz,5096,2520477
22-ene-20,4,clz,4411,3833745
12-feb-20,3,brr,1308,2310967
23-ago-19,3,clz,1395,2310967
29-sep-19,3,clz,3841,6931035
13-mar-19,2,clz,3503,5942572
28-may-19,2,brr,1055,4245367
18-feb-19,3,clz,1243,2520477
17-mar-19,1,clz,655,5942572
11-ene-20,3,pzz,3234,5942572
04-ene-20,3,qsd,3316,9611338
13-jun-19,1,pzz,2277,6931035
07-may-19,1,qsd,1281,6332756
16-oct-19,1,brr,844,6931035
25-dic-19,2,pzz,5919,1111222
17-oct-19,4,pzz,5860,2310967
26-nov-19,3,qsd,2531,2310967
26-oct-19,4,qsd,3794,1111222
29-may-19,1,clz,976,1111222
09-dic-19,4,brr,2826,2520477
08-jun-19,1,clz,2375,9922377
16-may-19,3,clz,3548,2630867
18-sep-19,3,pzz,4806,2630867
24-mar-19,3,brr,5851,6931035
15-feb-20,2,clz,490,6931035
16-abr-19,3,pzz,3616,6332756
06-jul-19,3,brr,2574,3833745
21-jun-19,3,pzz,2321,2310967
12-ago-19,2,pzz,2946,9922377
31-jul-19,3,brr,1383,1111222
27-ago-19,2,qsd,3522,9611338
30-nov-19,4,pzz,3009,6931035
10-mar-19,4,clz,5388,2520477
13-jul-19,4,qsd,5621,5942572
20-jun-19,3,clz,5708,9611338
28-ago-19,2,brr,3665,5942572
13-dic-19,2,brr,4795,9611338
23-ene-20,1,qsd,5429,6931035
17-jul-19,3,pzz,3551,9611338
15-nov-19,3,pzz,5006,9611338
23-ago-19,3,clz,5748,1111222
17-abr-19,2,pzz,5959,2520477
08-dic-19,2,brr,1304,2630867
04-abr-19,4,qsd,4733,6332756
03-oct-19,2,brr,3014,9922377
05-dic-19,4,qsd,1917,5942572
01-mar-20,4,qsd,2239,9922377
23-nov-19,1,clz,5786,6931035
03-ago-19,4,brr,2729,6931035
17-ene-20,4,clz,1876,2630867
15-feb-19,1,pzz,2891,6332756
23-jun-19,1,pzz,5714,2520477
25-may-19,2,pzz,4918,9611338
21-jul-19,3,qsd,4179,6332756
29-ago-19,1,qsd,1055,5942572
11-dic-19,3,qsd,2548,1111222
24-abr-19,3,clz,4547,2310967
09-abr-19,3,clz,3238,2310967
01-sep-19,4,clz,4597,2520477
05-mar-19,1,clz,2087,6931035
15-may-19,4,brr,1471,6332756
08-jul-19,1,clz,3381,4245367
04-jun-19,2,pzz,2354,4245367
18-dic-19,3,brr,3181,3833745
19-mar-19,2,brr,3863,5942572
09-mar-19,2,brr,4835,4245367
04-jun-19,1,brr,4954,2630867
29-mar-19,3,pzz,5494,3833745
30-mar-19,2,brr,4743,4245367
01-mar-19,4,clz,1467,2310967
13-ene-20,1,clz,5512,2520477
07-ago-19,4,pzz,5197,9611338
07-mar-19,1,qsd,4947,2630867
20-feb-20,2,qsd,2584,2310967
10-oct-19,4,qsd,926,2520477
06-nov-19,4,brr,4576,6931035
03-dic-19,4,brr,1165,2520477
09-dic-19,1,clz,5696,9611338
03-oct-19,3,clz,2493,6332756
04-may-19,2,qsd,2578,5942572
15-ago-19,1,clz,4067,6332756
06-abr-19,2,qsd,4249,2310967
23-oct-19,1,brr,2312,2630867
30-jul-19,2,brr,1532,9611338
26-abr-19,1,brr,3954,5942572
21-oct-19,2,pzz,2225,2630867
24-feb-20,1,clz,4055,9922377
22-jun-19,2,clz,5810,9922377
27-jun-19,1,clz,5021,2630867
22-jun-19,3,brr,3843,6931035
11-dic-19,2,qsd,1054,4245367
19-nov-19,2,brr,1781,6332756
18-jun-19,4,qsd,5798,2310967
26-nov-19,1,clz,3510,9922377
12-mar-19,4,qsd,3479,5942572
07-feb-20,4,brr,3183,2310967
02-ene-20,3,clz,2824,1111222
30-may-19,1,qsd,5505,4245367
04-dic-19,1,brr,3221,9611338
06-nov-19,3,brr,2178,2310967
08-feb-20,1,brr,457,3833745
14-mar-19,3,qsd,3318,2630867
14-ago-19,4,qsd,2057,3833745
04-mar-20,2,qsd,2035,2520477
24-jun-19,4,qsd,1424,4245367
21-oct-19,1,pzz,4911,3833745
12-dic-19,1,qsd,5576,9611338
18-feb-19,2,qsd,2941,9611338
01-jul-19,4,clz,5738,9611338
12-nov-19,1,pzz,5196,6332756
18-dic-19,2,brr,4377,4245367
06-ago-19,1,qsd,3128,6332756
28-dic-19,2,brr,863,1111222
04-feb-20,3,clz,4522,1111222
05-dic-19,1,brr,2332,2520477
10-abr-19,4,pzz,2695,9611338
01-ene-20,4,qsd,1944,1111222
14-dic-19,2,brr,2287,5942572
25-mar-19,3,pzz,546,5942572
29-dic-19,2,qsd,1333,2630867
10-mar-19,1,pzz,1942,4245367
11-jun-19,2,pzz,3514,2310967
03-abr-19,3,qsd,2563,4245367
19-feb-19,2,qsd,1704,9922377
12-feb-19,1,pzz,1263,4245367
17-jul-19,3,brr,1007,2310967
06-dic-19,2,qsd,4240,5942572
25-may-19,2,pzz,2419,9611338
12-mar-19,2,pzz,5916,6931035
05-dic-19,4,qsd,3458,9922377
26-sep-19,4,qsd,4653,5942572
17-dic-19,1,pzz,3247,9611338
31-ago-19,4,brr,3870,2520477
26-sep-19,3,qsd,4924,2630867
10-dic-19,3,brr,5071,6332756
05-ene-20,2,brr,1566,6332756
19-abr-19,2,clz,2062,1111222
21-nov-19,3,clz,1040,9922377
20-sep-19,1,pzz,4912,6931035
08-abr-19,3,pzz,1775,2630867
20-ene-20,4,pzz,1425,2520477
15-nov-19,3,qsd,5308,4245367
02-ago-19,2,qsd,5375,9922377
01-jun-19,3,brr,4976,2630867
15-mar-19,2,clz,3301,9611338
09-ene-20,3,pzz,2025,5942572
28-nov-19,3,clz,3926,2310967
28-nov-19,4,brr,1987,6332756
12-feb-20,3,qsd,4012,9611338
12-mar-19,2,brr,1127,5942572
28-ago-19,4,qsd,3136,9611338
15-dic-19,2,pzz,5599,5942572
04-nov-19,3,pzz,2925,2310967
12-mar-19,1,pzz,1350,1111222
07-feb-20,4,pzz,4382,6931035
25-feb-20,2,brr,1870,6332756
01-may-19,2,brr,5380,4245367
19-nov-19,1,clz,1614,2520477
16-feb-19,1,clz,3345,4245367
19-feb-20,3,qsd,4460,5942572
01-sep-19,4,clz,3049,4245367
03-ago-19,1,clz,2008,1111222
28-feb-20,1,clz,5186,2310967
01-feb-20,3,brr,1674,6931035
19-sep-19,2,brr,3042,2310967
21-oct-19,1,brr,695,6931035
12-sep-19,3,brr,753,9611338
22-jun-19,4,brr,5907,4245367
09-abr-19,2,qsd,5266,2630867
16-ago-19,2,clz,2329,2310967
01-may-19,1,clz,644,6931035
17-may-19,3,brr,2934,9611338
20-dic-19,3,clz,4510,1111222
02-jun-19,2,pzz,970,1111222
14-feb-19,3,brr,5549,2520477
15-may-19,2,qsd,4756,4245367
11-sep-19,3,pzz,2408,9922377
29-oct-19,1,qsd,4696,2630867
27-jul-19,3,pzz,850,6931035
20-may-19,3,clz,1550,2310967
16-mar-19,3,pzz,4910,3833745
02-oct-19,1,qsd,3713,6332756
23-mar-19,4,pzz,4550,5942572
06-dic-19,2,brr,3321,2520477
29-nov-19,3,pzz,268,1111222
30-ene-20,4,clz,3887,2520477
08-feb-20,3,clz,3515,2520477
28-dic-19,2,qsd,3796,4245367
07-sep-19,1,qsd,2041,3833745
22-abr-19,3,brr,4099,9922377
22-jul-19,2,brr,3239,9611338
09-jul-19,3,brr,3304,2520477
16-sep-19,2,qsd,2222,9611338
09-dic-19,2,brr,4348,2630867
12-abr-19,1,pzz,1747,5942572
30-abr-19,1,brr,600,9611338
20-feb-20,2,brr,656,1111222
30-abr-19,2,qsd,4497,2520477
04-mar-19,4,brr,4818,4245367
13-oct-19,2,qsd,5699,9611338
24-nov-19,4,pzz,467,9611338
05-abr-19,3,qsd,4484,6931035
24-oct-19,4,clz,529,9611338
15-oct-19,2,qsd,3924,4245367
24-ago-19,4,clz,937,6332756
12-ago-19,4,clz,5635,2630867
03-jun-19,1,pzz,3798,3833745
28-jul-19,3,pzz,5888,3833745
28-feb-20,1,qsd,1726,6931035
22-jun-19,2,pzz,1780,1111222
07-feb-20,2,brr,1366,1111222
11-nov-19,4,pzz,2857,4245367
23-feb-20,4,pzz,287,6332756
09-feb-20,2,brr,2413,4245367
30-mar-19,3,brr,3416,5942572
31-oct-19,4,qsd,3416,4245367
30-jul-19,4,brr,784,2310967
15-sep-19,3,qsd,5290,6332756
05-oct-19,1,qsd,2323,2520477
23-nov-19,4,pzz,3364,3833745
07-oct-19,4,pzz,2470,1111222
21-ago-19,3,pzz,5681,2630867
04-dic-19,3,clz,900,2630867
11-dic-19,1,qsd,3249,9922377
15-ago-19,1,pzz,2125,4245367
24-jun-19,4,pzz,5798,6931035
30-mar-19,3,brr,4039,2310967
01-ago-19,4,brr,2752,6332756
23-feb-20,2,qsd,2442,2520477
06-ene-20,3,qsd,2414,1111222
02-ene-20,4,clz,2175,4245367
29-nov-19,1,brr,1961,2310967
01-dic-19,1,clz,2227,1111222
05-abr-19,2,pzz,5169,9922377
02-abr-19,3,pzz,1544,9611338
08-mar-20,3,brr,626,4245367
21-mar-19,1,brr,667,1111222
03-may-19,1,pzz,4309,1111222
13-jul-19,4,qsd,1306,9611338
16-dic-19,4,pzz,3351,1111222
08-ago-19,2,qsd,3120,9922377
06-dic-19,4,brr,5567,9611338
19-feb-19,2,qsd,405,9922377
26-oct-19,4,pzz,4111,3833745
20-mar-19,1,qsd,4930,3833745
12-dic-19,1,brr,1432,1111222
27-oct-19,2,brr,3867,4245367
05-mar-19,4,brr,3540,6332756
15-ene-20,1,qsd,5705,6931035
22-oct-19,1,clz,4489,5942572
11-feb-19,3,brr,2026,5942572
21-abr-19,3,brr,3404,6931035
12-ago-19,2,qsd,2372,4245367
07-jul-19,3,pzz,2223,5942572
10-feb-20,2,qsd,2807,2630867
19-sep-19,2,clz,2900,2310967
27-abr-19,2,pzz,3337,3833745
08-abr-19,3,clz,2509,6931035
28-jun-19,3,clz,4670,9611338
07-sep-19,3,brr,5202,6931035
15-feb-19,1,pzz,5922,1111222
25-dic-19,1,qsd,4854,9922377
10-feb-19,4,pzz,5366,1111222
31-dic-19,1,clz,716,9611338
08-mar-19,4,pzz,5671,2310967
19-abr-19,4,qsd,449,2310967
23-dic-19,1,qsd,4674,9611338
05-ene-20,2,pzz,3710,2310967
17-mar-19,3,clz,5613,9611338
20-dic-19,1,clz,2866,2310967
25-may-19,4,brr,2692,6931035
28-jun-19,1,brr,4318,5942572
01-oct-19,3,clz,1307,1111222
11-ago-19,1,clz,1764,2310967
25-oct-19,4,brr,5079,2520477
09-dic-19,2,brr,1757,9611338
18-mar-19,3,clz,5159,4245367
28-may-19,2,pzz,1903,3833745
25-nov-19,3,clz,5504,2520477
30-dic-19,3,clz,5725,2310967
18-sep-19,1,pzz,1779,9611338
20-ago-19,1,clz,1421,2630867
20-abr-19,4,brr,1775,5942572
25-feb-20,3,qsd,2710,2310967
02-feb-20,4,brr,4048,9922377
03-ago-19,4,clz,4564,2630867
02-dic-19,1,pzz,2384,9611338
14-abr-19,4,clz,4887,1111222
12-jun-19,1,pzz,2306,1111222
28-dic-19,1,brr,356,6332756
07-abr-19,4,qsd,5381,6332756
24-may-19,3,clz,2657,9611338
22-mar-19,3,brr,1796,5942572
09-feb-19,4,brr,857,6931035
02-mar-19,4,clz,5671,9922377
02-dic-19,1,clz,858,2630867
11-abr-19,1,qsd,2352,4245367
14-oct-19,1,qsd,2481,6332756
23-nov-19,4,brr,1202,6931035
22-oct-19,3,brr,4939,5942572
11-feb-19,4,pzz,4697,4245367
16-ago-19,3,clz,1646,2520477
16-ago-19,3,pzz,2693,2630867
24-may-19,3,brr,1526,5942572
15-sep-19,4,qsd,3522,9611338
06-ago-19,4,clz,466,9922377
18-feb-20,1,brr,4423,9922377
13-oct-19,4,brr,2391,2520477
03-jul-19,2,brr,960,9611338
07-dic-19,1,qsd,1732,2310967
25-jul-19,3,brr,3839,6332756
11-ago-19,2,clz,2930,3833745
31-mar-19,2,pzz,696,1111222
14-feb-20,3,qsd,5220,9922377
26-feb-19,4,pzz,4920,4245367
18-feb-19,4,qsd,2646,6931035
30-may-19,3,brr,4695,5942572
24-nov-19,4,clz,5485,1111222
06-may-19,4,brr,4805,1111222
02-oct-19,4,clz,4776,4245367
22-ene-20,2,brr,1289,2310967
10-abr-19,3,pzz,4165,2630867
05-nov-19,3,clz,4574,5942572
07-feb-20,4,pzz,4354,3833745
18-dic-19,1,clz,2005,4245367
23-jul-19,1,brr,4485,4245367
07-mar-20,4,clz,4058,2630867
22-feb-19,1,qsd,5862,2630867
27-nov-19,1,clz,550,9611338
15-feb-19,4,pzz,5114,6332756
20-jun-19,3,clz,3131,5942572
10-feb-19,1,brr,559,6332756
17-jun-19,1,pzz,3141,1111222
24-feb-20,4,clz,4477,5942572
26-jul-19,3,clz,256,6931035
26-abr-19,3,pzz,928,1111222
16-mar-19,4,clz,1310,5942572
26-dic-19,3,pzz,5442,2310967
23-feb-20,2,qsd,1568,5942572
07-dic-19,1,pzz,1063,3833745
14-jun-19,3,pzz,2811,6332756
14-feb-19,3,pzz,5172,6332756
17-sep-19,4,qsd,4709,5942572
27-jun-19,3,brr,3444,2630867
28-dic-19,4,qsd,3639,3833745
01-may-19,4,pzz,400,2520477
11-nov-19,1,brr,4119,3833745
08-may-19,4,qsd,5457,6332756
11-jun-19,4,qsd,1258,2520477
29-ago-19,4,brr,2613,9611338
11-feb-19,3,pzz,1554,4245367
23-abr-19,4,qsd,513,9611338
14-ene-20,4,pzz,5548,6332756
22-jun-19,2,clz,5740,9922377
25-mar-19,2,pzz,2294,1111222
12-jun-19,3,clz,4332,3833745
05-oct-19,4,qsd,540,2630867
02-mar-20,3,brr,3205,6931035
08-ene-20,4,clz,289,6931035
24-jul-19,3,qsd,1941,2310967
18-jun-19,1,pzz,3533,2520477
